,animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type,cluster
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal,4
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish,1
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mammal,4
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal,0
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,fish,6
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish,1
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mammal,0
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal,4
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird,2
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish,1
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,invertebrate,5
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,invertebrate,3
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrate,3
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird,2
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish,1
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal,1
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird,2
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,bird,2
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,bird,2
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect,3
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,amphibian,4
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,amphibian,4
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal,0
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal,0
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,mammal,0
30,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect,3
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal,0
